Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,
TRIO,62.6,108.5,1.733226837,0.793460481,0.238855405
PLEKHH1,10.25277778,18,1.755621783,0.811982076,0.244430961
COX15,29,51,1.75862069,0.814444348,0.245172178
LIG4,35.80555556,63,1.759503491,0.815168377,0.245390133
CKS2,709.5833333,1254,1.767234292,0.82149332,0.24729413
DLG5,36.05555556,64,1.775038521,0.827850334,0.249207782
GORAB,18.58333333,33,1.775784753,0.828456721,0.249390323
SDHC,27.58333333,49,1.776435045,0.828984939,0.249549332
MPDZ,34.88888889,62,1.777070064,0.829500564,0.249704551
HPS5,24.66666667,44,1.783783784,0.834940754,0.251342211
HMGN4,213.2777778,382,1.79109143,0.840838985,0.253117756
MAP1B,309.5,555,1.793214863,0.842548363,0.25363233
SPAST,23.97222222,43,1.793742758,0.842973008,0.253760161
PTGER4,1.67037037,3,1.796008868,0.844794474,0.254308477
SCN3B,10.54411765,19,1.80195258,0.849561047,0.255743358
FAM193B,31.47222222,57,1.811120918,0.856882871,0.257947447
BYSL,71.11111111,129,1.8140625,0.859224163,0.258652246
MAP2K5,13.77777778,25,1.814516129,0.859584882,0.258760833
LY6G6C,1.097142857,2,1.822916665,0.866248611,0.260766815
FADS3,9.833333333,18,1.830508474,0.872244453,0.262571744
TSPAN12,42.57777778,78,1.831941545,0.87337347,0.262911612
C20orf194,9.817647059,18,1.833433193,0.874547699,0.26326509
WDR37,14.72222222,27,1.833962264,0.874963955,0.263390395
MED24,64.08333333,118,1.841352406,0.880765763,0.265136914
AHI1,24.41666667,45,1.843003413,0.882058743,0.265526139
CCDC65,5.944444444,11,1.850467289,0.887889634,0.267281413
PRSS16,8.15625,15.1,1.851340996,0.888570648,0.267486418
TXN,484.3611111,898,1.853988645,0.890632409,0.26810707
RNF213,24.38235294,45.66666667,1.872939284,0.905304133,0.272523699
XKR6,3.731428571,7,1.87595712,0.907626853,0.273222907
MAGEA2,0.532258065,1,1.878787875,0.909802189,0.273877749
CHST5,0.265625,0.5,1.882352934,0.912537154,0.274701055
VGLL1,0.159259259,0.3,1.883720918,0.91358524,0.275016561
SOSTDC1,15.871875,30,1.890135853,0.918489933,0.27649302
TMCC1,15.86111111,30,1.891418564,0.919468662,0.276787647
CCDC3,15.25277778,29,1.901293025,0.926980896,0.279049055
MFSD5,24.69444444,47,1.903262092,0.928474245,0.279498598
KHDRBS3,12.05555556,23,1.907834101,0.931935726,0.280540607
MTIF3,42.94444444,82,1.909443726,0.933152403,0.280906864
SLC39A11,13.5,26,1.925925926,0.945552217,0.284639579
TAOK3,7.741666667,15,1.937567276,0.954246405,0.287256791
PRDM9,0.4125,0.8,1.939393935,0.955605878,0.287666033
MROH8,3.075,6,1.951219512,0.964376091,0.29030613
TSPEAR,8.193548387,16,1.952755905,0.965511624,0.29064796
BLK,3.566666667,7,1.962616822,0.972778532,0.292835517
CNKSR1,8.15,16,1.963190184,0.973199941,0.292962374
CACTIN,21.30555556,42,1.971316819,0.979159657,0.294756427
ITPRIPL2,9.1,18,1.978021978,0.984058457,0.296231113
KCNT1,2.523529412,5,1.981351981,0.986485194,0.296961633
GPR35,1,2,1.999999998,0.999999999,0.301029995
MGAT1,20.47222222,41,2.002713704,1.001956198,0.30161887
PEX1,26.94444444,54,2.004123711,1.002971567,0.301924526
STX1B,8.964705882,18,2.007874016,1.005668751,0.302736459
FMO4,2.970588235,6,2.01980198,1.014213859,0.305308793
KRTAP10-12,0.445454545,0.9,2.020408159,1.014646773,0.305439114
PABPC4L,11.86896552,24,2.022080186,1.015840209,0.305798374
GTF2I,33,67,2.03030303,1.021695072,0.307560863
TMEM145,44.23333333,90,2.034664657,1.024791037,0.308492841
PABPC1,694.9142857,1416,2.037661377,1.026914322,0.309132014
